Area,Date,Revision,Location,NMC,Description,Format,Type,Sheets,Notes
St. John,1952,1957,MDL B2,,COLOUR,paper,plans,"1, 33-12, 17-20, 35-50, 53-69, 73-75, 81-85, 87-94, 97-112",incomplete set
St. John,1967,,MDL B2,,BW,paper,addendum ,,
St.John's,1957,1968,Fisher Rare Book Library,,COLOUR,paper,plans,110,
St. John's,1967,1968,MDL B2,,COLOUR,paper,plans,Jan-76,complete set
St. Joseph d'Alma,1953,,MDL B2,,COLOUR,paper,plans,odds only,
St.Joseph de Sorel,1957,,Fisher Rare Book Library,,COLOUR,paper,plans,10,
St. Joseph de Sorel,1957,,MDL B2,,COLOUR,paper,plans,8-Jan,complete set
St.Lambert,1953,1956,Fisher Rare Book Library,,COLOUR,paper,plans,39,Includes Greenfield Park
St. Lambert,1953,1956,MDL B2,,COLOUR,paper,plans,21-Jan,incomplete set
St. Lambert,1956,,MDL B2,,COLOUR,paper,slips,Trans. 20,
St.Laurent,1954,,Fisher Rare Book Library,,COLOUR,paper,plans,105,
St. Laurent,1954,1961,MDL B2,,COLOUR,paper,plans,65-78,complete set
St. Laurent,1954,1972,MDL B2,,COLOUR,paper,plans,79-115,complete set
St.Lawrence,1956,,Fisher Rare Book Library,,COLOUR,paper,plans,14,
St. Lawrence,1956,,MDL B2,,COLOUR,paper,plans,11-Jan,complete set
St.Leonard,1957,,Fisher Rare Book Library,,COLOUR,paper,plans,13,
St. Leonard,1957,,MDL B2,,COLOUR,paper,plans,11-Jan,complete set
St.Lin,1926,,Fisher Rare Book Library,,COLOUR,paper,plans,3,
St.Martin's,1941,,Fisher Rare Book Library,,COLOUR,paper,plans,3,
St.Ours,1896,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
St.Peters C.B.,1926,1941,Fisher Rare Book Library,,COLOUR,paper,plans,1,
St.Philippe,1909,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
St.Pie,1906,,Fisher Rare Book Library,,COLOUR,paper,plans,3,
St.Quentin,1950,,Fisher Rare Book Library,,COLOUR,paper,plans,3,
Strathroy,1929,,MDL B2,,COLOUR,paper,plans (large),1,incomplete set
St.Raymond,1926,,Fisher Rare Book Library,,COLOUR,paper,plans,4,
St.Remi,1909,1928,Fisher Rare Book Library,,COLOUR,paper,plans,4,
St.Romauld d'Etchemin,1960,,Fisher Rare Book Library,,COLOUR,paper,plans,21,
St. Romuauld d'Etchemin,1960,,MDL B2,,COLOUR,paper,plans,18-Jan,complete set
St.Rose,1951,,Fisher Rare Book Library,,COLOUR,paper,plans,7,
St.Scholastique,1908,,Fisher Rare Book Library,,COLOUR,paper,plans,3,
St.Stephen,1950,,Fisher Rare Book Library,,COLOUR,paper,plans,16,
St. Thomas,1922,1929,MDL B2,,COLOUR,paper,plans (large),17-Jan,complete set. Includes index
St.Timothee,1909,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
St.Tite,1956,,Fisher Rare Book Library,,COLOUR,paper,plans,16,
St. Tite,1956,,MDL B2,,COLOUR,paper,plans,14-Jan,complete set
Sturgeon Falls,1949,,MDL B2,,COLOUR,paper,plans (large),9-Jan,complete set
St.Vital,1961,,Fisher Rare Book Library,,COLOUR,paper,plans,34,
St.Vital,1961,,MDL B2,,COLOUR,paper,plans,24-Jan,
Stanbridge East,1897,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
Stanley,1941,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
Stanstead Plain,1960,,Fisher Rare Book Library,,COLOUR,paper,plans,3,
Stanstead Plain,1960,,MDL B2,,COLOUR,paper,plans,6-Jan,complete set
Staples,1906,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
Stayner,1924,,Fisher Rare Book Library,,COLOUR,paper,plans,3,
Ste.Adele,1956,,Fisher Rare Book Library,,COLOUR,paper,plans,17,
Ste. Adele,1956,,MDL B2,,COLOUR,paper,plans,15-Jan,complete set
Ste.Agathe des Monts,1952,,Fisher Rare Book Library,,COLOUR,paper,plans,16,
Ste. Agathe des Monts,1952,,MDL B2,,COLOUR,paper,plans,15-Jan,complete set
Ste.Anne de Beaupre,1964,,Fisher Rare Book Library,,COLOUR,paper,plans,11,
Ste. Anne de Beaupre,1964,,MDL B2,,COLOUR,paper,plans,7-Jan,complete set
Ste.Anne de Bellevue??,1959,,Fisher Rare Book Library,,COLOUR,paper,plans,15,
Ste. Anne de Bellevue,1959,,MDL B2,,COLOUR,paper,plans ,13-Jan,complete set
Ste.Genevieve,1918,,Fisher Rare Book Library,,COLOUR,paper,plans,3,
Ste.Helene de Breakeyville,1960,,Fisher Rare Book Library,,COLOUR,paper,plans,8,
Ste. Helene de Breakeyville,1960,,MDL B2,,COLOUR,paper,plans,6-Jan,complete set
Ste.Julie de Somerset,1906,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
Ste.Marie de Beauce,1932,,Fisher Rare Book Library,,COLOUR,paper,plans,7,
Ste.Thecle,1908,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
Ste.Therese,1955,1971,Fisher Rare Book Library,,COLOUR,paper,plans,33,
St. Therese,1955,1971,MDL B2,,COLOUR,paper,plans,26-Jan,complete set
Stellarton,1962,,Fisher Rare Book Library,,COLOUR,paper,plans,14,
Stellarton,1962,,MDL B2,,COLOUR,paper,plans,11-Jan,complete set
Stephenville,1964,1969,Fisher Rare Book Library,,COLOUR,paper,plans,19,
Stephenville,1964,1969,MDL B2,,COLOUR,paper,plans,16-Jan,complete set
Stettler,1959,,Fisher Rare Book Library,,COLOUR,paper,plans,9,
Stevensville,1897,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
STEVENSVILLE,1897,1909,MDL G 3401 G475 1878-,9713,BW,microfiche,,,
STIRLING,1890,,MDL G 3401 G475 1878-,9714,BW,microfiche,,,
Stirling,1911,,Fisher Rare Book Library,,COLOUR,paper,plans,3,
STONY CREEK,1939,,MDL G 3401 G475 1878-,9716,BW,microfiche,,,
Stouffville,1910,,Fisher Rare Book Library,,COLOUR,paper,plans,4,
STOUFFVILLE,1910,1924,MDL G 3401 G475 1878-,9718,BW,microfiche,,,
Stouffville,1924,,MDL B2,,COLOUR,paper,slips,Trans. 1-3,
Stratford,1949,,Fisher Rare Book Library,,COLOUR,paper,plans,31,
STRATFORD,1908,1925,MDL G 3401 G475 1878-,16292,BW,microfiche,,,
STRATFORD,1908,1928,MDL G 3401 G475 1878-,9719,BW,microfiche,,,
Strathroy,1929,,Fisher Rare Book Library,,COLOUR,paper,atlas,7,
Streetsville,1939,,Fisher Rare Book Library,,COLOUR,paper,plans,3,
STREETSVILLE,1884,[190?],MDL G 3401 G475 1878-,13973,BW,microfiche,,,
Sturgeon Falls,1949,,Fisher Rare Book Library,,COLOUR,paper,plans,9,
STURGEON POINT,1938,,MDL G 3401 G475 1878-,7851,BW,microfiche,,,
SUDBURY,1915-19,,MDL G 3401 G475 1878-,7858,BW,microfiche,,,
Sudbury & District,1957,,MDL B2,,COLOUR,paper,plans,Jan-75,complete set
Sudbury & District,1957,,Fisher Rare Book Library,,COLOUR,paper,plans,135,
Summerside,1937,,MDL B2,,COLOUR,paper,slips,,
Summerside,1949,,MDL B2,,BW,paper,slips,,index slip
Summerside,1956,1963,Fisher Rare Book Library,,COLOUR,paper,plans,1,
Sunderland,1910,,Fisher Rare Book Library,,COLOUR,paper,plans,2,
SUNDERLAND,1885,[190?],MDL G 3401 G475 1878-,13974,BW,microfiche,,,
Sundridge,1896,,Fisher Rare Book Library,,COLOUR,paper,plans,1,
Sundridge,1896,,MDL B2,,COLOUR,paper,plans (large),1,complete set
Sussex,1955,,Fisher Rare Book Library,,COLOUR,paper,plans,22,
Sussex,1955,,MDL B2,,COLOUR,paper,plans,20-Jan,complete set
Sutton,1926,,Fisher Rare Book Library,,COLOUR,paper,plans,2,
Sutton,1929,,MDL B2,,COLOUR,paper,plans (large),1,incomplete set
Sutton,1929,,MDL B2,,COLOUR,paper,slips,Trans. 2,
SUTTON,1885,,MDL G 3401 G475 1878-,7854,BW,microfiche,,,
SUTTON,1939,,MDL G 3401 G475 1878-,7855,BW,microfiche,,,
Swastika,1952,,Fisher Rare Book Library,,COLOUR,paper,plans,4,
Swastika,1952,,MDL B2,,COLOUR,paper,plans,4-Jan,complete set
SWASTIKA,1928,1937,MDL G 3401 G475 1878-,7856,BW,microfiche,,,
Swift Current,1957,1966,Fisher Rare Book Library,,COLOUR,paper,plans,26,
SYDENHAM,1898,,MDL G 3401 G475 1878-,7857,BW,microfiche,,,
Sydney,1957,1969,Fisher Rare Book Library,,COLOUR,paper,plans,58,
Sydney,1957,1969,MDL B2,,COLOUR,paper,plans,Jan-52,complete set
Sydney Mines,1958,,Fisher Rare Book Library,,COLOUR,paper,plans,18,
Sydney Mines,1958,,MDL B2,,COLOUR,paper,plans,18-Jan,complete set
Tadoussac,1906,,Fisher Rare Book Library,,COLOUR,paper,plans,2,
TAGENET,1897,,MDL G 3401 G475 1878-,9662,COLOUR,microfiche,,,
TAMWORTH,1885,1904,MDL G 3401 G475 1878-,13975,BW,microfiche,,,
